OBJECTID,LONGITUDE,LATITUDE,city_1,state,zip
6419,-94.729782,32.534758,LONGVIEW,TX,75605
6420,-97.203758,31.501876,WACO,TX,76712
6421,-97.14762,32.838396,BEDFORD,TX,76021
6422,-96.780351,32.790941,DALLAS,TX,75246
6423,-98.573811,29.507791,SAN ANTONIO,TX,78229
6424,-95.598085,33.158325,SULPHUR SPRINGS,TX,75482
6425,-95.284703,29.845369,HOUSTON,TX,77028
6426,-95.608268,29.746151,HOUSTON,TX,77282
6427,-95.275391,32.308839,TYLER,TX,75703
6428,-98.891541,30.254972,FREDERICKSBURG,TX,78624
6429,-97.674303,26.158859,HARLINGEN,TX,78550
6430,-98.574603,29.409094,SAN ANTONIO,TX,78237
6431,-93.996994,29.948344,NEDERLAND,TX,77627
6432,-94.99713,29.390204,TEXAS CITY,TX,77591
6433,-95.388748,29.722835,HOUSTON,TX,77004
6434,-95.287596,29.7003,HOUSTON,TX,77012
6435,-97.161109,33.225589,DENTON,TX,76201
6436,-95.289598,32.331858,TYLER,TX,75701
6437,-96.905833,29.682088,SCHULENBURG,TX,78956
6438,-96.291261,30.582582,COLLEGE STATION,TX,77845
6439,-96.838787,32.987594,DALLAS,TX,75287
6440,-97.854413,30.101628,BUDA,TX,78610
6441,-96.883379,32.924583,DALLAS,TX,75234
6442,-106.461451,31.818872,EL PASO,TX,79930
6443,-95.438905,30.023273,HOUSTON,TX,77090
6444,-97.710366,30.214867,AUSTIN,TX,78741
6445,-95.39138,29.705798,HOUSTON,TX,77030
6446,-97.013344,32.718268,GRAND PRAIRIE,TX,75051
6447,-97.742473,30.400864,AUSTIN,TX,78759
6448,-97.125189,32.83338,BEDFORD,TX,76022
6449,-97.201055,31.513779,WACO,TX,76712
6450,-95.08655,30.338326,CLEVELAND,TX,77327
6451,-95.085439,30.341234,CLEVELAND,TX,77327
6452,-97.023742,33.039848,LEWISVILLE,TX,75067
6453,-97.339639,32.738434,FORT WORTH,TX,76104
6454,-96.782794,32.887861,DALLAS,TX,75230
6455,-98.492366,29.434466,SAN ANTONIO,TX,78215
6456,-98.570821,31.451409,GOLDTHWAITE,TX,76844
6457,-97.603214,32.699346,ALEDO,TX,76008
6458,-97.296858,32.915283,FORT WORTH,TX,76244
6459,-97.769177,30.227036,AUSTIN,TX,78704
6460,-94.775549,29.31111,GALVESTON,TX,77555
6461,-95.623352,30.084628,TOMBALL,TX,77375
6462,-95.513729,29.689753,HOUSTON,TX,77074
6463,-96.83704,32.811527,DALLAS,TX,75235
6464,-97.289739,32.728476,FORT WORTH,TX,76105
6465,-97.977704,26.155629,WESLACO,TX,78596
6466,-96.775835,32.791284,DALLAS,TX,75246
6467,-97.708999,26.159004,HARLINGEN,TX,78551
6468,-96.158641,29.772378,SEALY,TX,77474
6469,-96.791783,33.014383,PLANO,TX,75093
6470,-97.784012,26.481086,RAYMONDVILLE,TX,78580
6471,-97.630142,26.133774,SAN BENITO,TX,78586
6472,-94.753712,31.327022,LUFKIN,TX,75904
6473,-94.753712,31.327022,LUFKIN,TX,75904
6474,-97.746432,30.306685,AUSTIN,TX,78705
6475,-96.772537,32.913835,DALLAS,TX,75251
6476,-96.640652,32.911773,GARLAND,TX,75040
6477,-96.825536,32.759287,DALLAS,TX,75208
6478,-97.746432,30.306685,AUSTIN,TX,78705
6479,-95.397784,29.713494,HOUSTON,TX,77030
6480,-94.368301,32.537868,MARSHALL,TX,75670
6481,-101.890139,33.57601,LUBBOCK,TX,79410
6482,-98.625243,29.398155,LACKLAND AFB,TX,78236
6483,-95.195676,30.068107,KINGWOOD,TX,77339
6484,-95.760111,29.578317,RICHMOND,TX,77469
6485,-97.417811,27.779014,CORPUS CHRISTI,TX,78405
6486,-98.630092,29.43328,SAN ANTONIO,TX,78227
6487,-102.289616,31.921595,ODESSA,TX,79765
6488,-97.089873,33.163977,DENTON,TX,76210
6489,-97.803983,32.430844,GRANBURY,TX,76048
6490,-97.093061,32.935573,GRAPEVINE,TX,76051
6491,-98.592771,29.5308,SAN ANTONIO,TX,78240
6492,-97.289588,32.87806,FORT WORTH,TX,76137
